"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"1","ENSG00000000003.15",0,0,0,0,0,0.5,0.5
"2","ENSG00000000005.6",0,0,0,0,0,0.5,0.5
"3","ENSG00000000419.12",0,0,0,0,0,0.5,0.5
"4","ENSG00000000457.14",0,0,0,0,0,0.5,0.5
"5","ENSG00000000460.17",0,0,0,0,0,0.5,0.5
"6","ENSG00000000938.13",0,0,0,0,0,0.5,0.5
"7","ENSG00000000971.15",0,0,0,0,0,0.5,0.5
"8","ENSG00000001036.14",0,0,0,0,0,0.5,0.5
"9","ENSG00000001084.13",0,0,0,0,0,0.5,0.5
"10","ENSG00000001167.14",0,0,0,0,0,0.5,0.5
"11","ENSG00000001460.18",0,0,0,0,0,0.5,0.5
"12","ENSG00000001461.17",0,0,0,0,0,0.5,0.5
"13","ENSG00000001497.16",0,0,0,0,0,0.5,0.5
"14","ENSG00000001561.7",0,0,0,0,0,0.5,0.5
"15","ENSG00000001617.12",0,0,0,0,0,0.5,0.5
"16","ENSG00000001626.15",0,0,0,0,0,0.5,0.5
"17","ENSG00000001629.10",0,0,0,0,0,0.5,0.5
"18","ENSG00000001630.17",0,0,0,0,0,0.5,0.5
"19","ENSG00000001631.15",0,0,0,0,0,0.5,0.5
"20","ENSG00000002016.18",0,0,0,0,0,0.5,0.5
"21","ENSG00000002079.14",0,0,0,0,0,0.5,0.5
"22","ENSG00000002330.13",0,0,0,0,0,0.5,0.5
"23","ENSG00000002549.12",0,0,0,0,0,0.5,0.5
"24","ENSG00000002586.20",0,0,0,0,0,0.5,0.5
"25","ENSG00000002586.20_PAR_Y",0,0,0,0,0,0.5,0.5
"26","ENSG00000002587.10",0,0,0,0,0,0.5,0.5
"27","ENSG00000002726.20",0,0,0,0,0,0.5,0.5
"28","ENSG00000002745.13",0,0,0,0,0,0.5,0.5
"29","ENSG00000002746.15",0,0,0,0,0,0.5,0.5
"30","ENSG00000002822.15",0,0,0,0,0,0.5,0.5
"31","ENSG00000002834.18",0,0,0,0,0,0.5,0.5
"32","ENSG00000002919.14",0,0,0,0,0,0.5,0.5
"33","ENSG00000002933.9",0,0,0,0,0,0.5,0.5
"34","ENSG00000003056.8",0,0,0,0,0,0.5,0.5
"35","ENSG00000003096.14",0,0,0,0,0,0.5,0.5
"36","ENSG00000003137.8",0,0,0,0,0,0.5,0.5
"37","ENSG00000003147.19",0,0,0,0,0,0.5,0.5
"38","ENSG00000003249.13",0,0,0,0,0,0.5,0.5
"39","ENSG00000003393.15",0,0,0,0,0,0.5,0.5
"40","ENSG00000003400.14",0,0,0,0,0,0.5,0.5
"41","ENSG00000003402.20",0,0,0,0,0,0.5,0.5
"42","ENSG00000003436.16",0,0,0,0,0,0.5,0.5
"43","ENSG00000003509.16",0,0,0,0,0,0.5,0.5
"44","ENSG00000003756.17",0,0,0,0,0,0.5,0.5
"45","ENSG00000003987.14",0,0,0,0,0,0.5,0.5
"46","ENSG00000003989.17",0,0,0,0,0,0.5,0.5
"47","ENSG00000004059.11",0,0,0,0,0,0.5,0.5
"48","ENSG00000004139.14",0,0,0,0,0,0.5,0.5
"49","ENSG00000004142.12",0,0,0,0,0,0.5,0.5
"50","ENSG00000004399.12",0,0,0,0,0,0.5,0.5
"51","ENSG00000004455.17",0,0,0,0,0,0.5,0.5
"52","ENSG00000004468.13",0,0,0,0,0,0.5,0.5
"53","ENSG00000004478.8",0,0,0,0,0,0.5,0.5
"54","ENSG00000004487.16",0,0,0,0,0,0.5,0.5
"55","ENSG00000004534.15",0,0,0,0,0,0.5,0.5
"56","ENSG00000004660.15",0,0,0,0,0,0.5,0.5
"57","ENSG00000004700.16",0,0,0,0,0,0.5,0.5
"58","ENSG00000004766.17",0,0,0,0,0,0.5,0.5
"59","ENSG00000004776.13",0,0,0,0,0,0.5,0.5
"60","ENSG00000004777.18",0,0,0,0,0,0.5,0.5
"61","ENSG00000004779.10",0,0,0,0,0,0.5,0.5
"62","ENSG00000004799.8",0,0,0,0,0,0.5,0.5
"63","ENSG00000004809.14",0,0,0,0,0,0.5,0.5
"64","ENSG00000004838.14",0,0,0,0,0,0.5,0.5
"65","ENSG00000004846.16",0,0,0,0,0,0.5,0.5
"66","ENSG00000004848.8",0,0,0,0,0,0.5,0.5
"67","ENSG00000004864.13",0,0,0,0,0,0.5,0.5
"68","ENSG00000004866.20",0,0,0,0,0,0.5,0.5
"69","ENSG00000004897.12",0,0,0,0,0,0.5,0.5
"70","ENSG00000004939.15",0,0,0,0,0,0.5,0.5
"71","ENSG00000004948.15",0,0,0,0,0,0.5,0.5
"72","ENSG00000004961.15",0,0,0,0,0,0.5,0.5
"73","ENSG00000004975.12",0,0,0,0,0,0.5,0.5
"74","ENSG00000005001.10",0,0,0,0,0,0.5,0.5
"75","ENSG00000005007.12",0,0,0,0,0,0.5,0.5
"76","ENSG00000005020.13",0,0,0,0,0,0.5,0.5
"77","ENSG00000005022.6",0,0,0,0,0,0.5,0.5
"78","ENSG00000005059.16",0,0,0,0,0,0.5,0.5
"79","ENSG00000005073.5",0,0,0,0,0,0.5,0.5
"80","ENSG00000005075.15",0,0,0,0,0,0.5,0.5
"81","ENSG00000005100.13",0,0,0,0,0,0.5,0.5
"82","ENSG00000005102.13",0,0,0,0,0,0.5,0.5
"83","ENSG00000005108.16",0,0,0,0,0,0.5,0.5
"84","ENSG00000005156.12",0,0,0,0,0,0.5,0.5
"85","ENSG00000005175.10",0,0,0,0,0,0.5,0.5
"86","ENSG00000005187.12",0,0,0,0,0,0.5,0.5
"87","ENSG00000005189.19",0,0,0,0,0,0.5,0.5
"88","ENSG00000005194.15",0,0,0,0,0,0.5,0.5
"89","ENSG00000005206.17",0,0,0,0,0,0.5,0.5
"90","ENSG00000005238.19",0,0,0,0,0,0.5,0.5
"91","ENSG00000005243.10",0,0,0,0,0,0.5,0.5
"92","ENSG00000005249.13",0,0,0,0,0,0.5,0.5
"93","ENSG00000005302.19",0,0,0,0,0,0.5,0.5
"94","ENSG00000005339.14",0,0,0,0,0,0.5,0.5
"95","ENSG00000005379.17",0,0,0,0,0,0.5,0.5
"96","ENSG00000005381.8",0,0,0,0,0,0.5,0.5
"97","ENSG00000005421.9",0,0,0,0,0,0.5,0.5
"98","ENSG00000005436.14",0,0,0,0,0,0.5,0.5
"99","ENSG00000005448.16",0,0,0,0,0,0.5,0.5
"100","ENSG00000005469.11",0,0,0,0,0,0.5,0.5
"101","ENSG00000005471.17",0,0,0,0,0,0.5,0.5
"102","ENSG00000005483.21",0,0,0,0,0,0.5,0.5
"103","ENSG00000005486.17",0,0,0,0,0,0.5,0.5
"104","ENSG00000005513.10",0,0,0,0,0,0.5,0.5
"105","ENSG00000005700.15",0,0,0,0,0,0.5,0.5
"106","ENSG00000005801.18",0,0,0,0,0,0.5,0.5
